"date","temp_mean","temp_min","temp_max","month","season"
"2016-01-01",-12,-14,-10,"January","Winter"
"2016-01-02",-10.5,-15,-9,"January","Winter"
"2016-01-03",-15,-16,-12,"January","Winter"
"2016-01-04",-14,-17,-12,"January","Winter"
"2016-01-05",-8,-12,-6,"January","Winter"
"2016-01-06",-3.5,-6,0,"January","Winter"
"2016-01-07",-5,-6,-4,"January","Winter"
"2016-01-08",-4.5,-11,-1,"January","Winter"
"2016-01-09",-4,-7,3,"January","Winter"
"2016-01-10",0,-1,1,"January","Winter"
"2016-01-11",2.5,-1,5,"January","Winter"
"2016-01-12",4,1,7,"January","Winter"
"2016-01-13",1,0,4,"January","Winter"
"2016-01-14",-1,-6,1,"January","Winter"
"2016-01-15",-2,-3,-1,"January","Winter"
"2016-01-16",-2,-9,-1,"January","Winter"
"2016-01-17",-9,-16,-6,"January","Winter"
"2016-01-18",-6,-10,-4,"January","Winter"
"2016-01-19",-6,-12,-5,"January","Winter"
"2016-01-20",-7,-11,-4,"January","Winter"
"2016-01-21",-5,-7,-4,"January","Winter"
"2016-01-22",-5.5,-17,-4,"January","Winter"
"2016-01-23",-6,-16,-1,"January","Winter"
"2016-01-24",-6,-18,-3,"January","Winter"
"2016-01-25",-2,-3,0,"January","Winter"
"2016-01-26",1,0,3,"January","Winter"
"2016-01-27",3,2,5,"January","Winter"
"2016-01-28",5,3,9,"January","Winter"
"2016-01-29",1,-2,5,"January","Winter"
"2016-01-31",3,-1,7,"January","Winter"
"2016-02-01",1,-2,2,"February","Winter"
"2016-02-02",6,2,11,"February","Winter"
"2016-02-03",7,4,9,"February","Winter"
"2016-02-04",0,-1,3,"February","Winter"
"2016-02-05",0,-2,1,"February","Winter"
"2016-02-06",-1,-2,5,"February","Winter"
"2016-02-07",1,-4,5,"February","Winter"
"2016-02-08",6,-1,9,"February","Winter"
"2016-02-09",7,6,12,"February","Winter"
"2016-02-10",6,4,10,"February","Winter"
"2016-02-11",2,0,5,"February","Winter"
"2016-02-12",2,-2,7,"February","Winter"
"2016-02-13",4,1,5,"February","Winter"
"2016-02-14",4,0,9,"February","Winter"
"2016-02-15",8,4,15,"February","Winter"
"2016-02-16",4,2,7,"February","Winter"
"2016-02-17",2.5,2,5,"February","Winter"
"2016-02-18",5,4,6,"February","Winter"
"2016-02-19",3,2,5,"February","Winter"
"2016-02-20",1,-4,2,"February","Winter"
"2016-02-21",3,-4,5,"February","Winter"
"2016-02-22",11,4,14,"February","Winter"
"2016-02-23",9,2,11,"February","Winter"
"2016-02-24",0.5,-1,3,"February","Winter"
"2016-02-25",0,-4,5,"February","Winter"
"2016-02-26",0,-5,2,"February","Winter"
"2016-02-27",1,-7,3,"February","Winter"
"2016-02-28",4.5,1,12,"February","Winter"
"2016-02-29",4,1,6,"February","Winter"
"2016-03-01",6,2,10,"March","Spring"
"2016-03-02",1,-1,4,"March","Spring"
"2016-03-03",2.5,-3,5,"March","Spring"
"2016-03-04",3,2,5,"March","Spring"
"2016-03-05",4,2,9,"March","Spring"
"2016-03-06",8,2,13,"March","Spring"
"2016-03-07",7,6,9,"March","Spring"
"2016-03-08",5.5,0,8,"March","Spring"
"2016-03-09",4,-2,6,"March","Spring"
"2016-03-10",7,5,10,"March","Spring"
"2016-03-11",5,4,8,"March","Spring"
"2016-03-12",5,4,6,"March","Spring"
"2016-03-13",4,1,5,"March","Spring"
"2016-03-14",3,-2,7,"March","Spring"
"2016-03-15",1,0,3,"March","Spring"
"2016-03-16",1,-2,6,"March","Spring"
"2016-03-17",4,-4,9,"March","Spring"
"2016-03-18",5,2,11,"March","Spring"
"2016-03-19",1,-2,3,"March","Spring"
"2016-03-20",3,-1,6,"March","Spring"
"2016-03-21",3,0,5,"March","Spring"
"2016-03-22",2,0,7,"March","Spring"
"2016-03-23",2.5,2,6,"March","Spring"
"2016-03-24",0,-2,2,"March","Spring"
"2016-03-25",0,-7,7,"March","Spring"
"2016-03-26",3.5,-3,7,"March","Spring"
"2016-03-27",3,-3,11,"March","Spring"
"2016-03-28",4,-2,13,"March","Spring"
"2016-03-29",7,-1,12,"March","Spring"
"2016-03-30",8,1,15,"March","Spring"
"2016-04-01",7,3,16,"April","Spring"
"2016-04-02",4,0,11,"April","Spring"
"2016-04-03",9,-1,15,"April","Spring"
"2016-04-04",13.5,3,22,"April","Spring"
"2016-04-05",14,8,23,"April","Spring"
"2016-04-06",17,8,24,"April","Spring"
"2016-04-07",14,9,20,"April","Spring"
"2016-04-08",15,11,19,"April","Spring"
"2016-04-09",15,12,20,"April","Spring"
"2016-04-10",11,10,14,"April","Spring"
"2016-04-11",10,9,10,"April","Spring"
"2016-04-12",9.5,8,12,"April","Spring"
"2016-04-13",10,9,17,"April","Spring"
"2016-04-14",11,6,18,"April","Spring"
"2016-04-15",9,6,14,"April","Spring"
"2016-04-16",14.5,8,20,"April","Spring"
"2016-04-17",17.5,7,22,"April","Spring"
"2016-04-18",11,7,14,"April","Spring"
"2016-04-19",8,5,13,"April","Spring"
"2016-04-20",6,3,10,"April","Spring"
"2016-04-21",6.5,2,13,"April","Spring"
"2016-04-22",10,3,16,"April","Spring"
"2016-04-23",10,2,14,"April","Spring"
"2016-04-24",7.5,4,13,"April","Spring"
"2016-04-25",2,1,4,"April","Spring"
"2016-04-26",3,1,10,"April","Spring"
"2016-04-27",10,-1,16,"April","Spring"
"2016-04-28",8,3,14,"April","Spring"
"2016-04-29",9,4,16,"April","Spring"
"2016-04-30",9,8,12,"April","Spring"
"2016-05-01",14,7,20,"May","Spring"
"2016-05-02",14,9,19,"May","Spring"
"2016-05-03",14.5,10,19,"May","Spring"
"2016-05-04",14,9,21,"May","Spring"
"2016-05-05",14.5,10,19,"May","Spring"
"2016-05-06",14,6,20,"May","Spring"
"2016-05-07",11,7,16,"May","Spring"
"2016-05-08",11,8,15,"May","Spring"
"2016-05-09",12,9,18,"May","Spring"
"2016-05-10",15,5,20,"May","Spring"
"2016-05-11",16,8,21,"May","Spring"
